VE_REF beta.VE_REF
DNK001 1
DNK001 1
DNK001 1
DNK002 1
DNK002 1
DNK002 1
DNK003 1
DNK003 1
DNK003 1
DNK004 1
DNK004 1
DNK004 1
DNK005 1
DNK005 1
DNK005 1
DNK006 1
DNK006 1
DNK006 1
DNK007 1
DNK007 1
DNK007 1
DNK008 1
DNK008 1
DNK008 1
DNK009 1
DNK009 1
DNK009 1
DNK010 1
DNK010 1
DNK010 1
DNK011 1
DNK011 1
DNK011 1
DNK012 1
DNK012 1
DNK012 1
DNK013 1
DNK013 1
DNK013 1
DNK014 1
DNK014 1
DNK014 1
DNK015 1
DNK015 1
DNK015 1
DNK016 1
DNK016 1
DNK016 1
DNK017 1
DNK017 1
DNK017 1
DNK018 1
DNK018 1
DNK018 1
DNK019 1
DNK019 1
DNK019 1
DNK020 1
DNK020 1
DNK020 1
DNK021 1
DNK021 1
DNK021 1
DNK022 1
DNK022 1
DNK022 1
DNK023 1
DNK023 1
DNK023 1
DNK024 1
DNK024 1
DNK024 1
DNK025 1
DNK025 1
DNK025 1
DNK026 1
DNK026 1
DNK026 1
DNK027 1
DNK027 1
DNK027 1
DNK028 1
DNK028 1
DNK028 1
DNK029 1
DNK029 1
DNK029 1
DNK030 1
DNK030 1
DNK030 1


